year,subject,question,a,b,c,d,e,answer
2021,thai,"ผู้เขียนประทับใจกับเรื่องใดเป็นสำคัญ
     หลายคนที่กินผักผลไม้เป็นประจำ รู้สึกกังวลเพราะเกรงว่าต้องกินยาฆ่าแมลง
เข้าไปด้วยปัญหานี้กำลังจะหมดไปผลิตภัณฑ์ใหม่ฟิตซ์ใช้ล้างผักผลไม้ได้อย่างมี
ประสิทธิภาพเพราะสามารถทำลายโมเลกุลของยาฆ่าแมลงที่ตกค้างให้สลายตัว
กลายเป็นสารไร้พิษซึ่งเป็นมิตรกับสิ่งแวดล้อมด้วยข่าวดีที่ต้องประกาศให้ชาวไทย
รู้ทั่วกันคือฟิตซ์เพิ่งได้รับรางวัลเหรียญ ทองประเภทนวัตกรรมในระดับโลก
เมื่อเดือนที่แล้ว",ความฉลาดของผู้คิดค้นในเรื่องการทำลายโมเลกุลของผักผลไม้,ความหมดกังวลของคนที่ชอบกินผักผลไม้เพราะมีฟิตซ์มาช่วยขจัดสารพิษ,ผลิตภัณฑ์ของไทยที่มีการคิดค้นใหม่และมีคุณค่าถึงขนาดที่ชนะการประกวดระดับโลก,ศักยภาพของฟิตซ์ที่สามารถเปลี่ยนพิษในยาฆ่าแมลงในผักผลไม้ให้เป็นสารปลอดภัย,ความแปลกใหม่ของสารที่เกิดจากการทำลายพิษซึ่งสามารถเป็นมิตรกับสิ่งแวดล้อม,c
2021,thai,"ข้อใดไม่ใช่ปัจจัยสนับสนุนข้อความต่อไปนี้
วัฒนธรรมการดื่มชาในประเทศญี่ปุ่นเริ่มต้นจากการดื่มเพื่อเข้าสังคมของพวก
นักรบและพ่อค้าต่อมาได้รับอิทธิพลจากหลักปรัชญาของนิกายเซนจนพัฒนามาเป็น
พิธีที่เป็นระบบเห็นได้จากการชำระล้างร่างกายก่อนเข้าพิธีหรือการเจริญสติในทุก
อากัปกิริยาห้องชงชาเป็นห้องโล่งประดับเพียงแจกันดอกไม้แบบญี่ปุ่นหรือภาพแขวน
บนผนังเท่านั้นพิธีชงชาจึงเป็นการผสานระหว่างการพบปะทางสังคมพิธีทางศาสนา
และสุนทรียภาพเข้าด้วยกัน",นักรบเป็นชนชั้นที่ควบคุมวัฒนธรรมการดื่มชา,จุดเริ่มต้นของการดื่มชามาจากการพบปะสังสรรค์,นิกายเซนมีอิทธิพลอย่างสูงต่อการประกอบพิธีชงชา,ขั้นตอนของพิธีชงชาแฝงไว้ด้วยหลักคำ สอนทางศาสนา,ความเรียบง่ายของการจัดสถานที่มีความสำคัญในพิธีชงชา,a
2021,thai,"ส่วนใดเป็นใจความสำคัญของข้อความต่อไปนี้
๑) รอบตัวเรามีวัตถุทรงกลมอยู่มากมาย / ๒) เมื่อวัตถุทรงกลมถูกบีบเข้าหากัน
จะเปลี่ยนเป็นรูปทรงหกเหลี่ยมทันที /๓) เช่นหากเราใช้หลอดกาแฟเป่าฟองอากาศ
เล็กๆที่อยู่ในแก้วนม /๔) ให้สังเกตดูว่าฟองอากาศมีลักษณะเหมือนลูกบอลรูปทรง
หกเหลี่ยมหรือไม่ /๕) หรือลองสังเกตดูฟองอากาศของน้ำยาล้างจานหรือแชมพู
อาบน้ำก็ได้",ส่วนที่๑,ส่วนที่๒,ส่วนที่๓,ส่วนที่๔,ส่วนที่๕,b
2021,thai,"ข้อใดเป็นประเด็นสำคัญ ของข้อความต่อไปนี้
การระบาดของไวรัสโควิด๑๙ส่งผลกระทบต่อภาระค่าใช้จ่ายของผู้คนจำนวนมาก
การที่คนบางส่วนต้องทำงานที่บ้านเพื่อป้องกันการแพร่เชื้อทำให้บ้านไม่ใช่
ที่อยู่อาศัย
เพียงอย่างเดียวอีกต่อไปแต่กลายเป็นที่ทำงานที่ออกกำลังกายและที่ประกอบอาหาร
เพิ่มมื้อขึ้นการใช้ไฟฟ้าในบ้านจึงสูงขึ้นตามไปด้วยการติดตั้งโซลาร์เซลล์บนหลังคา
จึงเป็นทางหนึ่งที่ช่วยให้มีพลังงานจากแสงอาทิตย์มาใช้เพื่อลดค่าใช้จ่าย",รายจ่ายที่เพิ่มขึ้นของผู้บริโภคเมื่อต้องทำงานที่บ้าน,การดำเนินชีวิตวิถีใหม่หลังจากสถานการณ์โควิด๑๙,ความเปลี่ยนแปลงรูปแบบในการทำงานเพื่อป้องกันการแพร่เชื้อ,การใช้พลังงานแสงอาทิตย์เพื่อลดค่าไฟฟ้าในบ้านช่วงการระบาดของโควิด๑๙,บทบาทที่เปลี่ยนไปของที่อยู่อาศัยเมื่อทุกคนต้องอยู่บ้านเพื่อลดความเสี่ยงการติดโรค,d
2021,thai,"ข้อใดสรุปความได้ถูกต้อง
โภชนาการสำคัญที่ส่งเสริมการเจริญเติบโตของเด็กวัย ๑ - ๓ขวบคืออาหาร
การจัดเตรียมอาหารให้เด็กวัยนี้กลุ่มพลังงานได้แก่โปรตีน คาร์โบไฮเดรตและไขมัน
วัยนี้
จึงต้องเน้นวัตถุดิบที่มีสารอาหารครบ๕หมู่ในปริมาณ ที่เหมาะสมช่วง
หากได้รับโปรตีนมากเกินไปไตจะทำงานหนักและส่งผลให้มีโอกาสเติบโตเป็นคนอ้วน
มีภาวะเสี่ยงที่จะเป็นโรคไม่ติดต่อในระยะยาวเช่นเบาหวาน ความดันโลหิตสูง
และโรคหัวใจ หรือหากได้รับโปรตีนน้อยเกินไปก็อาจส่งผลให้เป็นเด็กแคระแกร็นได้",ปริมาณอาหารโปรตีนสำหรับเด็กวัยทารกมีความสำคัญมากกว่าอาหารกลุ่มอื่น,อาหารกลุ่มพลังงานจำเป็นสำหรับเด็กวัยทารกเพราะจะช่วยส่งเสริมการเจริญเติบโต,โภชนาการที่ดีสำหรับเด็กที่กำลังเติบโตต้องเป็นอาหารที่มีคุณค่าเพื่อให้เด็กเจริญวัยได้อย่างสมบูรณ์,เด็กวัย๑ - ๓ขวบต้องได้รับอาหารครบทุกหมู่โดยเฉพาะโปรตีนต้องไม่มากหรือน้อยเกินไปเพราะอาจเป็นผลเสียต่อสุขภาพในระยะยาว,อาหารประเภทโปรตีนมีประโยชน์ต่อการเจริญเติบโตของเด็กวัย๑ - ๓ขวบ แต่ก็อาจทำให้เกิดโรคเช่นโรคเบาหวานโรคหัวใจ ฯลฯ,d
2021,thai,"ข้อใดเป็นจุดประสงค์ของผู้เขียนข้อความต่อไปนี้
ปัจจุบันชาวไทยตื่นตัวในคุณค่าของสัตว์และมีค่านิยมเกี่ยวกับสัตว์เปลี่ยนไป
ในทางดีขึ้นทำให้นโยบายของรัฐพลอยเปลี่ยนแปลงไปด้วยเช่นไม่มีการฆ่าสุนัขจรจัด
วันละหลายร้อยตัวลดประชากรสุนัขโดยวิธีทำหมันฉีดยากันพิษสุนัขบ้าไม่ฆ่า
สัตว์ป่าอันตรายเช่นช้างเสือ จระเข้แต่ใช้วิธียิงด้วยยาสลบแล้วนำ ไปปล่อยคืนสู่
ธรรมชาติในที่เหมาะสมเพื่อไม่ให้เป็นอันตรายต่อผู้อื่น",ปกป้องชีวิตสัตว์ที่ไม่มีเจ้าของ,สนับสนุนวิธีกำจัดประชากรสัตว์ที่มีมากเกินไป,ชี้แจงสถานการณ์การควบคุมจำนวนสุนัขจรจัด,บอกเล่าว่าสังคมไทยเห็นคุณค่าของสัตว์มากขึ้น,ชื่นชมการปฏิบัติงานของเจ้าหน้าที่รัฐที่ไม่ทำร้ายสัตว์,d
2021,thai,"ข้อใดเป็นจุดประสงค์ของผู้เขียนข้อความต่อไปนี้
ประเทศไทยมีพื้นที่ทางทะเลมากกว่า๓๒๐๐๐๐ตร.กม.แบ่งเป็นฝั่งตะวันออก
ปัจจุบันมีกลุ่มคนต่างๆและตะวันตกรวมถึงส่วนเหนือของช่องแคบมะละกา
ใช้ประโยชน์ทางทะเลเพิ่มขึ้นแต่ยังไม่มีการดำเนินการวางแผนเชิงพื้นที่ทางทะเล
ในภาพรวมทั้งประเทศโครงการการพัฒนาแผนที่เขตแดนทางทะเลระหว่างจังหวัด
ชายทะเลจึงเกิดขึ้นเพื่อช่วยจัดการเขตพื้นที่ความรับผิดชอบของจังหวัดชายฝั่งทะเล
ซึ่งจะนำ ไปสู่การวางแผนการใช้ประโยชน์ทางทะเลอย่างยั่งยืนทำให้เกิดความสมดุล
ในทุกมิติรวมถึงวิถีชีวิตผู้คน",ชี้ให้เห็นความสัมพันธ์ของพื้นที่ทางทะเลกับวิถีชีวิตผู้คน,ชี้แจงสถานการณ์การใช้ประโยชน์ทางทะเลของประเทศไทยปัจจุบัน,ให้ข้อมูลพื้นที่ทางทะเลของประเทศไทยที่คนกลุ่มต่างๆใช้ประโยชน์,บอกที่มาและเป้าหมายของโครงการจัดทำแผนที่เขตจังหวัดทางทะเล,กระตุ้นให้ตระหนักถึงความสำคัญของการวางแผนการใช้ประโยชน์ทางทะเล,d
2021,thai,"ข้อใดเป็นเจตนาของผู้เขียนข้อความต่อไปนี้
หลายคนรู้สึกไม่ดีกับรูปร่างหน้าตาของตัวเองเมื่อเห็นคนที่สวยกว่าดูดีกว่า
ก็มักจะเกิดปมในใจ กลายเป็นคนไม่มั่นใจเราควรรักตัวเองเปลี่ยนความคิดทางลบ
ให้เป็นพลังบวกจำ ไว้ว่าทุกคนมีความพิเศษอยู่ในตัวเองไม่มีใครที่สมบูรณ์แบบ
ไปทุกอย่างแล้วเราก็จะมีความสุขอย่างที่เราเป็น",สอน,ตำหนิ,บอกกล่าว,เปรียบเทียบ,ประชดประชัน,a
2021,thai,"ข้อใดไม่อาจอนุมานได้จากข้อความต่อไปนี้
แปะก๊วยเป็นสมุนไพรจีนโบราณนิยมนำใบแปะก๊วยมาสกัดด้วยตัวทำ ละลาย
จะได้สารสกัดไบโอฟลาโวนอยด์ Bioflavonoids ช่วยต้านอนุมูลอิสระในร่างกาย
ป้องกันการก่อมะเร็งช่วยให้ประสาทตาสามารถมองเห็นภาพได้เป็นปกติเห็นสี
ชัดเจนในผู้ป่วยที่เป็นโรคเบาหวานช่วยป้องกันอาการเบาหวานขึ้นตา นอกจากนี้
ยังป้องกันอาการจอประสาทตาเสื่อมที่พบได้บ่อยในผู้สูงอายุ",คนจีนนำ ใบแปะก๊วยมาสกัดเป็นยา,สารสกัดจากใบแปะก๊วยใช้ได้ผลดีเฉพาะผู้สูงอายุ,สรรพคุณ ของใบแปะก๊วยคือช่วยป้องกันโรคบางโรค,สารต้านอนุมูลอิสระในใบแปะก๊วยมีคุณประโยชน์สูง,ใบแปะก๊วยเป็นสมุนไพรที่ช่วยแก้ปัญหาเกี่ยวกับดวงตาได้,b
2021,thai,"ข้อใดไม่อาจอนุมานได้จากข้อความต่อไปนี้
ศิลปะบำบัดเป็นการนำ กระบวนการทางศิลปะมาประยุกต์ใช้เพื่อสร้างความรู้สึก
ผ่อนคลายและฝึกสมาธิเหมาะสำหรับเด็กที่มีอาการสมาธิสั้นเพราะช่วยให้เด็กจดจ่อ
อยู่กับการเคลื่อนไหวขณะระบายสีหรือออกแรงปั้นดินต่างกับการติดเกมคอมพิวเตอร์
ที่เด็กรับข้อมูลอย่างรวดเร็วซึ่งอาจทำให้เป็นเด็กสมาธิสั้นนอกจากนี้ยังเหมาะกับเด็กที่
ไม่กล้าแสดงออกเพราะศิลปะบำบัดส่งเสริมกระบวนการฝึกให้เด็กทำ มากกว่าพิจารณา
จากความงามของภาพหรือรูปปั้นปัจจุบันประเทศไทยยังต้องพัฒนาหลักสูตรฝึกอบรม
ผู้เชี่ยวชาญด้านศิลปะบำบัดให้เพียงพอต่อความต้องการ",เทคโนโลยีสมัยใหม่มีผลกระทบต่อสมาธิของเด็ก,ศิลปะบำบัดเน้นการปฏิบัติมากกว่าการแข่งขันผลงาน,นักวิชาชีพด้านศิลปะบำบัดในประเทศไทยยังมีอยู่จำกัด,ศิลปะบำบัดเป็นวิธีที่ดีที่สุดในการรักษาอาการสมาธิสั้นในเด็ก,เด็กที่ขาดความมั่นใจในตัวเองสามารถใช้ศิลปะเพิ่มความกล้าได้,d
2021,thai,"ข้อใดมีความหมายตรงกับคำ ที่ขีดเส้นใต้ในข้อความต่อไปนี้
การวิ่งมาราธอนช่วยฝึกวินัยแก้นิสัยผัดวันประกันพรุ่ง ถ้าตื่นขึ้นมาฝึกฝนทุกเช้า
ได้สักอาทิตย์ ต่อไปก็จะวิ่งได้ดีขึ้น นักวิ่งมาราธอนคนหนึ่งกล่าวว่าการออกกำลังกาย
ไม่เคยทรยศใคร ทำมากได้มากทำ น้อยได้น้อยหากเราควบคุมตัวเองได้ผลลัพธ์
ก็คุ้มค่า",ทำให้กังวล,ทำให้ท้อแท้,ทําให้ผิดหวัง,ทำให้เสียเวลา,ทําให้หวาดกลัว,c
2021,thai,"ตามข้อความต่อไปนี้“เด็กหญิงพรชนก”มีลักษณะนิสัยหลายประการยกเว้นข้อใด
แม้จะอายุไม่ถึง๑๐ขวบดีเด็กหญิงพรชนกก็ช่วยเหลือตนเองได้เป็นอย่างดี
เธอทำอาหารเช้าเอง และเตรียมใส่ปิ่นโตไปกินที่โรงเรียนตอนกลางวันด้วย
ที่โรงเรียนเธอทำ กิจกรรมหลายอย่างและเป็นประธานชมรมหนูน้อยนักประดิษฐ์
ของใช้จากเศษวัสดุ",เอื้อเฟื้อ,ประหยัด,รับผิดชอบ,ใส่ใจรักษ์โลก,มีมนุษยสัมพันธ์,a
2021,thai,"โครงการใหม่ของกระทรวงพม ในข้อความต่อไปนี้เน้นแนวคิดตามข้อใด
กระทรวงพัฒนาสังคมและความมั่นคงของมนุษย์ พม เร่งหานวัตกรรม
หลายรูปแบบจัดโครงการใหม่ยกระดับความเป็นอยู่ของประชาชนในยุคนี้เริ่มจาก
ค้นหาคนที่ลำบากยากจนแล้วจัดการให้สอดคล้องกับความเปลี่ยนแปลงในปัจจุบัน
เช่นจัดหาที่พักพิงชั่วคราวให้คนไร้ที่พึ่งฝึกทักษะอาชีพเพื่อให้ประชาชนเหล่านั้น
ยืนบนลำแข้งของตัวเองได้อย่างยั่งยืนในที่สุดก็จะเป็นเส้นทางสู่การลดความเหลื่อมล้ำ
ทางสังคมเป็นเหตุให้สังคมสามารถขับเคลื่อนไปข้างหน้าอย่างไม่หยุดยั้ง",การเพิ่มพูนรายได้,ความเจริญ ก้าวหน้า,การพัฒนาคุณภาพชีวิต,ความเท่าเทียมทางเศรษฐกิจ,การสร้างความมั่นคงในสังคม,c
2021,thai,ข้อใดไม่มีการโน้มน้าวใจ,ถุงผ้ารักษ์โลกทำด้วยผ้าดิบมีหลายขนาดหลายสีด้านข้างขยายกว้างทำให้ใส่ของได้จุ,ไม้สังเคราะห์ของเราทำความสะอาดง่ายราคาสุดคุ้มกันน้ำ กันปลวกอายุการใช้งานกว่า๒๐ปี,เจลล้างมือผลิตในประเทศมีแอลกอฮอล์๗๓% ฆ่าเชื้อโรคได้,๙๙% ไม่ต้องล้างน้ำ แห้งเร็วไม่เหนียว,"สำนักงานบริการผู้ดูแลผู้ป่วยติดเตียงมีพนักงานแบบไปเช้าเย็นกลับหรือเต็มเวลาติดต่อที่ ๐๙๕-๕๕๕๕๕๕๕๕
5 เชิญเที่ยวงานแฟร์ที่มีสัตว์เลี้ยงมากที่สุดรวมทั้งสัตว์แปลกใหม่จำหน่ายอุปกรณ์ ดูแลสัตว์เลี้ยง มีกิจกรรมสนุกให้ร่วมลุ้นรางวัลกันทั่วหน้า",d
2021,thai,"ข้อใดเป็นโครงสร้างของการใช้เหตุผลในข้อความต่อไปนี้
ผึ้งใช้ไขผึ้งในการสร้างรังการผลิตไขผึ้งแต่ละครั้งต้องใช้พลังงานมากผึ้งสร้าง
หลอดรวงเป็นรูปทรงหกเหลี่ยมซึ่งช่วยประหยัดพลังงานได้เป็นอย่างดี",สนับสนุน สนับสนุน สรุป,สนับสนุน สรุป สรุป,สรุป สนับสนุน สนับสนุน,สรุป สรุป สนับสนุน,สนับสนุน สรุป สนับสนุน,a
2021,thai,"ข้อใดเป็นประเด็นโต้แย้งของข้อความต่อไปนี้
โครงการ“ปล่อยยุงปรับแต่งพันธุกรรม” ของรัฐฟลอริดาสหรัฐอเมริกาที่จะ
ปล่อยยุงตัวผู้จำนวน๗๕๐ ล้านตัวสู่ธรรมชาติเพื่อช่วยลดการแพร่ระบาดของโรคที่
มียุงเป็นพาหะเช่นไข้เลือดออกไข้มาลาเรีย ฯลฯ ซึ่งปี ๒๕๖๓ในพื้นที่รัฐฟลอริดา
พบผู้ป่วยมากกว่า๕๐ ราย ค่าใช้จ่ายของโครงการนี้ในระยะยาวก็จะถูกกว่างบประมาณ
การกำจัดแหล่งเพาะพันธุ์ยุงลายที่ส่วนใหญ่เป็นการฉีดพ่นสารเคมีเฉลี่ยมากกว่า
ล้านดอลลาร์ต่อปีโครงการ“ปล่อยยุงปรับแต่งพันธุกรรม” ดังกล่าวแม้จะเป็น
ประโยชน์แต่เป็นการบิดเบือนวิถีธรรมชาติและยังไม่มีข้อพิสูจน์ว่าจะไม่กระทบ
ระบบนิเวศ นอกจากนี้ยังอาจทำให้เกิดการกลายพันธุ์ของยุงได้",การปล่อยยุงปรับแต่งพันธุกรรมมีผลกระทบต่อระบบนิเวศและสิ่งแวดล้อมจริงหรือ,โครงการปล่อยยุงปรับแต่งพันธุกรรมใช้งบประมาณน้อยกว่าการกำจัดแหล่งเพาะพันธุ์ยุงจริงหรือ,การปล่อยยุงปรับแต่งพันธุกรรมเพื่อลดการแพร่ระบาดของโรคที่มียุงเป็นพาหะเหมาะสมหรือไม่,การกำจัดแหล่งเพาะพันธุ์ยุงลายตามแบบเดิมมีอันตรายน้อยกว่าการปล่อยยุงปรับแต่งพันธุกรรมหรือไม่,การลดการแพร่ระบาดของโรคต่างๆด้วยการพ่นสารเคมีเพื่อกำจัดแหล่งเพาะพันธุ์ยุงลายเหมาะสมหรือไม่,c
2021,thai,ข้อใดมีลักษณะเป็นพรรณนาโวหาร,พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัวมีพระราชดำริให้ตัดถนนอย่างตะวันตกขึ้นเป็นครั้งแรกในพศ๒๔๐๔พระราชทานนามว่า“ถนนเจริญกรุง,ในรัชสมัยพระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัวทั้งรัฐบาลและเอกชนได้ร่วมกันตัดถนนหลายสายเพื่อประโยชน์ทั้งการสัญจรและการพาณิชย์,เมื่อมีถนนหนทางเพื่อการสัญจรแล้วการสร้างตึกแถวจึงเกิดขึ้น ๒ฟากถนน,ในเวลากลางคืนความสว่างตามท้องถนนมาจากตะเกียงน้ำมันซึ่งต่อมาเปลี่ยนเป็นไฟแก๊ส,กรุงเทพฯยามราตรีในยุคที่เริ่มมีไฟฟ้าใช้สว่างไสวราวกับกลางวันเชื้อเชิญให้ผู้คนออกมาเที่ยวเล่นอย่างสำราญใจ,e
2021,thai,"ข้อความต่อไปนี้ใช้วิธีอธิบายตามแบบได
แฟลชม็อบเริ่มต้นในประเทศตะวันตกคำนี้มาจากภาษาอังกฤษว่าflashmob
บางคนเรียกว่า ม็อบฉับพลันมักใช้เมื่อเกิดการรวมตัวของกลุ่มคนอย่างฉับพลัน
ดำรงอยู่ในช่วงเวลาสั้นๆแล้วสลายตัวไป เพื่อจุดประสงค์อย่างใดอย่างหนึ่งเช่น ใน
ต่างประเทศ จัดตั้งเพื่อแสดงออกทางศิลปะ เพื่อแสดงความคิดล้อเลียน เพื่อให้มี
ผลกระทบต่อความคิดความรู้สึกของผู้พบเห็นในประเทศไทยปัจจุบันนำคำนี้มาใช้
ด้วยจุดประสงค์เชิงพาณิชย์การโฆษณา และทางการเมือง",ชี้แจงตามลำดับขั้น,บอกที่มาและใช้ตัวอย่าง,นิยามและบอกแนวทางปฏิบัติ,กล่าวซ่าด้วยถ้อยคําแปลกออกไป,ชี้สาเหตุและผลลัพธ์ที่สัมพันธ์กัน,b
